Ids,Employer,Name,Salary,From,To,Experience,Schedule,Keys,Description
96844214,Middle Frontend-разработчик (React/Vue),АгроТаргет,True,100000.0,170000.0,От 1 года до 3 лет,Полный день,"['JavaScript', 'CSS3', 'HTML5', 'CSS', 'HTML', 'React.js', 'vue.js', 'figma', 'react', 'Python', 'PostgreSQL', '1С-Битрикс']","Задача – проект по созданию и развитию цифровых инструментов для электронных расчётов в сельскохозяйственной отрасли. Разработка клиринговой системы расчетов в сфере АПК. ESCROW Operator AGRo Exchange. Заведение и отображение сделок; получение, обработка, посылка котировок; интеграция с системами миддл и бэкофиса; написание и отображение отчетов; парсинг сложных финансовых инструментов и данных; риск-менеджмент накопленных позиций. Развёртывание кластера аналитики данных + BI аналитика и инструментов предиктивного анализа. АО &quot;АгроТаргет&quot; – входит в число лидеров отрасли по разработки отраслевых ИТ решений, Аккредитация Минцифры, наличие грантовой поддержки. РАСТЕМ БЫСТРО, Дружная команда, поэтому ищем не сотрудников, уверенных командных игроков и на &quot;борт&quot; берем того, кто делает работу на результат, а не считает часы.   Обязанности:  Разработка пользовательских интерфейсов с применением фреймворка Vue.js или React; HTML-вёрстка макетов (кроссбраузерная и адаптивная вёрстка); Участие в разработке высоконагруженных проектов.  Требования:  умение работать в команде; ответственность и дисциплинированность; уверенное владение javascript уверенное владение одним из популярных фреймворков: React, Vue понимание процесса сборки фронтенда; умение читать и понимать чужой код; знание технологий HTML/XHTML/HTML5; знание CSS/CSS3; написание тестов на ключевой функционал исправление багов опыт кроссбраузерной и адаптивной вёрстки; опыт разработки высоконагруженных проектов; твёрдые знания принципов и технологий работы веб-сайтов; наличие успешно реализованных проектов, примеров кода, резюме; понимание и применение на практике основных паттернов проектирования;  Условия:  Работа в офисе или удаленная работа на полный рабочий день; Оформление: по ТК РФ; Испытательный срок: 2 месяца; Заработная плата: по результатам собеседования; График работы: 5/2, 09.00-18.00 "
97615359,Junior Data Scientist / Младший аналитик данных,АДВ,False,,,Нет опыта,Полный день,"['Python', 'Математическая статистика', 'Обучение и развитие', 'Статистический анализ', 'Прогнозирование', 'Математический анализ']","АДВ Tech – дивизион, где создаются уникальные технологичные продукты на стыке big data и AI. Эти продукты меняют рекламную индустрию и облегчают работу сотрудников агентств. Мы приглашаем тебя на позицию Junior Data Scientist. Основные задачи:  Разработка и улучшение модулей инструментов медиапланирования Разработка алгоритмов оптимизации (в основном дискретной оптимизации) Исследование и построение моделей по данным интернет-пользования и рекламным кампаниям Разработка веб-скреперов Построение дашбордов  Для нас важно:  Отличное знание Python 3.6+, алгоритмов и структур данных Навыки манипуляции с данными (pandas) Использование Git Знание статистики Понимание классических алгоритмов машинного обучения Умение визуализировать данные  Будет плюсом:  Опыт коммерческой разработки Знания медиа статистик Общее представление о CI/CD Опыт работы с big data   "
97809908,Python разработчик,Аптеки Столички,True,,130500.0,От 1 года до 3 лет,Полный день,"['Linux', 'SQL', 'PostgreSQL']","ГК НЕО-ФАРМ (Аптечная сеть «СТОЛИЧКИ» и «Неофарм») приглашает на работу Backend разработчика !  На сегодняшний день Аптечная Сеть более 20 лет на фармацевтическом рынке и насчитывает более 1000 аптек в Москве и регионах. Мы ищем специалистов, готовых стать частью нашей дружной команды и расти вместе с нами! Чем нужно заниматься:   Разработкой нового десктопного продукта с применением PL/pgSQL и Python 3;   Взаимодействием с аналитиками, разработчиками и сотрудниками других структурных подразделений.   От кандидата мы ждем:  Знание Python 3.8+, asyncio (async/await); Опыт работы с SQL (Oracle/PostgreSQL), ORM (SQLAlchemy); Знание Git; Опыт работы c ОС Linux, Docker, Kubernetes; Опыт работы с протоколом REST, SOAP;  Понимание интерфейсов обмена данными с другими системами;   Опыт работы в 1С, УТ, WMS, Логистика и Склад (будет плюсом)   Что мы можем предложить:  Официальное трудоустройство, гарантии и компенсации в соответствии с Трудовым кодексом РФ в полном объеме; Работа в аккредитованной ИТ-компании; Своевременная и в полном объеме выплата заработной платы; Удалённый, гибридный или офисный формат работы, как вам будет удобнее; Добровольное медицинское страхование после прохождения испытательного срока.  Откликайтесь на вакансию и наш менеджер обязательно свяжется с вами !"
98048301,Junior Analyst (Младший Аналитик),OptiTeam,False,,,Нет опыта,Полный день,[],"О нас и о продукте: Мы – команда OptiTeam, крупный системный интегратор. Мы занимаемся IT-консалтингом, оптимизацией и автоматизацией бизнес-процессов и создаем IT- инфраструктуру на базе платформы Optimacros. Наш продукт — универсальная платформа для оптимизационного и консолидационного планирования, прогнозирования, бюджетирования, управления HR, контроля выполнения KPI и других видов аналитики. Мы обеспечиваем возможность обработки и анализа больших объемов данных, необходимых для эффективного принятия решений, а также планирования и мониторинга текущей операционной деятельности компании. Optimacros сегодня – команда из более чем 300 профессионалов, объединенных общим стремлением сделать наш продукт бесспорно лучшим в своей сфере. Мы постоянно развиваемся и готовы принять в команду талантливых, увлеченных, нацеленных на результат людей. Сейчас мы ищем в нашу команду аналитика с опытом моделирования в MS Excel от 1 года.   Чем предстоит заниматься:  Анализ сложных моделей, реализованных в MS Excel; Моделирование в профессиональном ПО Optimacros/Anaplan (после прохождения тренингов и сертификации); Построение Демо-моделей для клиентов (крупный российский и международный бизнес); Самостоятельная реализация и поддержка проектов консолидационного и оптимизационного планирования.    Мы ожидаем от кандидата:  Понимание многомерных моделей данных (сводные таблицы в Excel, Power Query); Желание развить в себе аналитические способности и получить отраслевой опыт консультанта в крупных российских и иностранных компания; Высокий уровень навыков работы с MS Excel.    Дополнительным преимуществом будут:  Опыт работы с MS Excel Solver; Умение программировать VBA, SQL, Python и т.п.; Навыки самостоятельного ведения проектов (Project Management); Опыт моделирования в IBM TM1/Cognos/Analytycs, Oracle Hyperion и SAP BPC/Planning.    Работа у нас - это:  Работа в развивающейся компании с перспективой роста; Гибридный формат работы; Официальное трудоустройство в аккредитованной IT компании; Прозрачная система вознаграждения; Возможность соблюдать work/life balance; Обширные ресурсы и компетенции Компании для реализации ваших проектов и идей; Программа Work&amp;Life Bonus (компенсация медицинских услуг, фитнеса, рабочего оборудования, а также обучения и курсов); Возможность посещения внутренних митапов и неформальных мероприятий; Возможность обучения английскому языку; А самое главное – возможность расти вместе с нами, общаться с коллегами без излишних формальностей, повышать свой уровень знаний и работать в удовольствие. "
96116704,Стажер аналитик / разработчик (SQL / Python),КОРУС Консалтинг,False,,,Нет опыта,Гибкий график,"['Python', 'SQL', 'Анализ данных', 'Базы данных', 'Системный анализ', 'DWH']","Департамент аналитических решений (ДАР) открывает набор на стажировку.   Мы погружены во все современные направления в области работы с данными:  внедрение BI-систем и систем аналитической отчетности; проектирование хранилищ и витрин данных; разработка в области продвинутой аналитики и больших данных; применение прикладных продуктов с использованием Machine Learning; внедрение решений в области управлениям данными (Data Governance, Data Quality)  Мы открываем набор на стажировку для :  Бизнес-аналитика Системный аналитика Дата-инженера Разработчика BI  Старт программы 01.07.2024 Длительность: 5-6 недель Формат сотрудничества: частичная занятость, будут обязательные онлайн-встречи, остальное время распределяешь сам.   Приходи к нам на стажировку, чтобы:   Попробовать себя в реальных задачах в рамках ИТ-проекта. Получить опыт в разных ролях: бизнес-аналитик, системный аналитик, дата-инженер/разработчик BI. Узнать про прикладные и полезные фишки в ИТ-консалтинге. Поучаствовать в обучающих вебинарах от экспертов в области работы с данными. Получить индивидуальную обратную связь, ЧТО можно развивать, а главное КАК? Узнать, как успешно пройти интервью на твое первое место работы.  После стажировки:  Сделаем оффер лучшим стажерам и выплатим единовременный бонус после трудоустройства к нам. Выдадим сертификат о прохождении стажировки всем участникам. Оформим все для твоей практики: подпишем документы, приказы и отзывы.  Как попасть на стажировку?  Оставь отклик на эту вакансию с сопроводительным письмом до 25.04. Расскажи: Что хочешь получить от стажировки? Какие твои сильные стороны? Жди приглашение на почту на наш онлайн-вебинар (предварительная дата 27.04). Пройди тестовое задание. Участвуй в групповой дискуссии. Активно проявляй себя на обучающих вебинарах. Получи приглашение на стажировку.  Что ждем от тебя:  Ты учишься на 3-4 курсе бакалавриата или 1-2 курс магистратуры по профильному направлению – ИТ/математика/программирование/бизнес-информатика ИЛИ прошел профильные курсы переквалификации и теперь хочешь развиваться в бизнес/системном анализе/ разработке BI / разработке баз данных. Территориально в Москве , СПб, Ярославле. Знаешь как работают JOINы и подзапросы в SQL. Умеешь работать с базовыми типами в Python, знаешь, в чем отличие Return от Yield. Ты активно задаешь вопросы, быстро вникаешь в суть проекта, а главное, хочешь изучать и погружаться в наши технологии.  Успешному стажеру после трудоустройства к нам готовы предложить:  Специализированные программы обучения для аналитиков и разработчиков, курсы от корпоративного университета, субсидии на внешнее обучение Постоянная поддержка наставника Гибкий рабочий график (нет фиксированного времени присутствия в офисе) Крутые корпоративные мероприятия, регулярные встречи проектных команд и другие активности Оформление в штат компании, согласно ТК РФ, “белая” заработная плата, ДМС и все остальные стандартные бенефиты. Комьюнити внутри компании (как спортивные, так и профессиональные).  Откликайся, будет интересно!"
98012351,Python Разработчик,Bell Integrator Регионы,False,,,От 1 года до 3 лет,Удаленная работа,"['Flask', 'Fast', 'API', 'Docker', 'Kubernetes', 'OpenShift', 'REST', 'Python', 'Kafka', 'RabbitMQ', 'PostgreSQL', 'Redis', 'Elasticsearch', 'ELK stack', 'CI/CD', 'Unit тесты', 'SQL']","BELL INTEGRATOR – крупный системный интегратор страны. Мы являемся аккредитованной ИТ– компанией. На текущий момент с нами работает более 2500 высококлассных аналитиков, руководителей проектов, разработчиков, тестировщиков и специалистов по сопровождению крупных информационных систем. Bell Integrator активно реализует проекты по всей России, среди наших заказчиков – ведущие системообразующие финансовые, телеком и ритейл компании страны. Центральный офис Bell Integrator расположен в Москве, представительства – в Нижнем Новгороде, Пензе, Саратове, Уфе, Минске (Беларусь). НА ТЕКУЩИЙ МОМЕНТ МЫ РАСШИРЯЕМ КОМАНДЫ ДЛЯ КРУПНЫХ КОММЕРЧЕСКИХ БАНКОВ (ТОП 10), ТЕЛЕКОМ, РИТЕЙЛ. В связи с чем в поиске Python Разработчика на проект в сфере телекоммуникаций. Требования:  Опыт разработки на Python от 2х лет; Опыт работы с микросервисной архитектурой; Знание принципов проектирования программного обеспечения; Знание Unit тесты; Знания SQL; Уверенный опыт работы с asyncio; Опыт применения ООП в python; Будет плюсом, если вы разрабатывали высоконагруженные сервисы и умеете решать проблемы производительности.  Обязанности:  Разрабатывать новые сервисы и активно участвовать в проработке решений; Писать чистый, тестируемый код; Развивать существующие решения; Работать с технологиями: Flask/AIOHTTP/FastAPI; Docker, Kubernetes/OpenShift; REST, Kafka/RabbitMQ; PostgreSQL, Redis, Elasticsearch; ELK stack; Работать в продуктовой команде (руководитель проекта, frontend- и backend-разработчики, тестировщики, аналитики, архитектор); работать с удобными инструментами (продукты JetBrains, GitLab); Использовать настроенный CI/CD с автопрогонами тестов и подсчетом покрытия, сборкой и деплоем на тестовые и продуктивную среды.  Условия:  Трудоустройство ТК РФ Достойный уровень заработной платы (по итогам технического интервью) в аккредитованной IT компании; ДМС, расширенные возможности стандартного социального пакета; Корпоративный абонемент на фитнес и курсы английского языка; Командная работа по гибким методологиям; Возможность удаленной работы с готовностью работать по Московскому времени. "
97598322,Junior+ django backend-developer,Автомакон,True,80000.0,110000.0,От 1 года до 3 лет,Удаленная работа,"['Python', 'Django Framework', 'Docker', 'PostgreSQL']","Привет, это team-lead проекта, для которого составлена данная вакансия.   Подробнее:   Кодовая база обширна (35 django-подсистем). Разработка ведется по системе Agile. Спринт - 1 неделя. Основные технологии:   odevlib - opensource-библиотека, которая изначально писалась на под этот проект  django, drf; drf-spectacular для автогенерации schema, swagger; celery+redis для background-задач; poetry для управления пакетами; ruff - присутствует в pre-commit hook. Остатки black, flake8, isort удалены из проекта, полностью заменены руфом; mypy - статическая типизация крайне важна в данном проекте; drf-access-policy - пока что практически не использовали, но, в будущем, планируем перевести часть подсистем на него; just - CLI-tool для удобного хенделинга локального запуска для разработчиков; PostgresQL.    Фронт - на Vue.js. Pipeline - gitlab CI на kubernetes, docker-compose. Используется centry для отлова ошибок Random notes: Время на рефакторинг выделяется стабильно. Аналитики/QA крайне толковые, пишут подробные ТЗ к задачам и bug-report&#39;ы на Markdown в task-tracker  Основная часть документации содержится в swagger description, однако, часть бизнес-логики, которую расписывают аналитики, хранится отдельно; Идеи поощряются. Цель - не отставать по стеку и постоянно улучшать архитектуру.    Кого мы ищем? Глубокое знание теории нас интересует в меньшей степени. Алгоритмы для вашей работы пригождаются далеко не каждый день. Паттерны разработки будут полезны, но также, неприоритет;  нужен человек, которому также интересно писать код, как и мне; нужно хорошее практическое знание python. Уверенное написание кода; опыт работы с django и restframework + крепкое понимание их основ: сериализаторов, ViewSet&#39;ов, роутизации, моделей и т.д; знание ветвлений git, слияний веток, push/pull и других основных команд.    Что нужно будет делать? делать фичи, ба(О)гофиксы;  продумывать архитектуру бэкенда согласно ТЗ аналитиков; рефакторить; писать автотесты.  Конечно же, я буду уделять много времени на помощь по внедрению нового специалиста в проект: обучать, скидывать материалы, проводить code-review.   Если у вас есть крутая задача, которую вы выполняли, либо проекты на github - большой плюс, прикладывайте к сопроводительному письму."
96174502,Аналитик по маркетплейсам,AVON,False,,,От 1 года до 3 лет,Гибкий график,[],"Обязанности: ​​​​​​​срочный трудовой договор на 1 год  Сбор информации по продажам на маркетплейсах с платформ Moneyplace/MPStat (Web/API) Обработка, чистка, приведение данных к категориям/продуктам AVON Построение аналитики по продуктам / Мерчантам используя данные меркетплейсов и внутренние данные компании Создание/поддержка регулярных отчётов/дашбордов по продажам на маркетплейсах для управления каналом Маркетплейсы Аналитика по продажам на маркетплейсах, поиск возможностей для развития продаж Отчёты по контролю движения товаров у мерчантов, анализ засточенности/перетоков Подготовка аналитических выводов на основе данных для руководства Загрузка данных в DWH  Требования:  Python, SQL Отличные навыки Excel (сложные формулы, VBA, pivots, etc) Опыт работы с Moneyplace/MPStat Опыт в аналитике от 1 года Статистические методы анализа, навыки работы с большими объёмами данных, навыки автоматизации рутинных задач Английский язык – Pre-Intermediate и выше (желательно) Опыт работы с BI платформами Опыт работы с API  Условия:  гибридный формат работы ДМС "
96989083,React-разработчик,РБК,True,,240000.0,От 3 до 6 лет,Удаленная работа,"['React', 'Redux', 'Next.js', 'Typescript', 'JavaScript', 'Git', 'Jira', 'Confluence']","РБК - это мультимедийный холдинг, объединяющий медиа, IT-сервисы и инфраструктуру для бизнеса. Компания развивается в области IT, digital-продуктов, big data, machine learning и mediatech. В настоящее время аудитория наших сайтов (РБК, Инвестиции, Pro, Авто, Тренды, Спорт, Недвижимость, РБК+, ТВ и др.) составляет более 60 млн уникальных пользователей ежемесячно. На наши сайты заходит каждый 3-й житель России. В команду разработки Департамента продуктов РБК Инвестиции ищем React-разработчика Предстоит работать над ключевым технологичным сервисом для продуктов РБК Инвестиции. Целевая аудитория продукта – частные трейдеры и инвесторы. Нашей задачей будет обеспечить целевую аудиторию всеми необходимыми инструментами для принятия инвестиционных решений. Технологический стек: React.js, PHP, Postgres, Redis, Couchbase, RestAPI, Kafka, RabbitMQ, Jira, Confluence, Python, Jaeger, Grafana, Prometheus, Elasticsearch etc.Обязанности:  Проектирование и разработка компонентов системы под высокую нагрузку Реализация интеграций с внешними и внутренними сервисами Разработка и доработка фичей от начала и до конца (в рамках командной работы) Участие в коллективном Code Review Взаимодействие с Backend-разработчиками, тестировщиками, дизайнерами, аналитиками, SEO-специалистами, etc.  Требования:  Опыт работы на React от 3-х лет Хотя бы 1 законченный продукт в prod среде (желателен B2C опыт) Опыт работы с высоконагруженными продуктами React и Redux / MobX Опыт работы с Next.js Понимание современного Typescript , JavaScript — modules, promises, async/await, пр. Git + GitLab / BitBucket / etc. Знание основ REST API, JSON, HTTP/HTTPS, WS а также работы с БД Понимание принципов DRY, SOLID, KISS, ООП Опыт работы с Jira, Confluence или готовность быстро изучить Готовность работы в условиях многозадачности и сжатых сроков Высокая внутренняя мотивация, самоорганизация, любопытство и сильная коммуникация Умеренный перфекционизм  Будет Вашим преимуществом:  Понимание конфигурации настройки сборщика проектов Webpack / rollup / vite Базовые знания UI/UX Опыт работы с Nginx Docker и Kuber CI/CD Опыт работы по Agile Понимание lean production Умение декомпозировать и давать оценку задачам Опыт написания тестов (unit, функциональные, интеграционные) Базовое понимание предметной области (фондовый рынок, банкинг, etc.) Опыт работы с Kubernetes  Условия:  Трудоустройство в аккредитованную IT-компанию Оформление в соответствии с трудовым законодательством РФ Заработная плата обсуждается на финальном собеседовании График работы 5/2, суббота и воскресенье - выходные Удаленный формат работы с предоставлением техники ДМС со стоматологией Высококвалифицированный коллектив, сплоченный общей идеей Гибкие методы управления: мы используем Agile в комбинации с Lean Production, чтобы каждый день создавать новое и быстро реагировать на изменения "
96455829,Analyst,MobiAds ex.WAKEAPP,False,,,От 1 года до 3 лет,Полный день,"['SQL', 'Python', 'Анализ данных']","Рекламный холдинг Мобиадс (ex. ВейкАпп) - является одним из крупнейших мобильных агентств в Европе. 10 лет на рынке. В компании работает 250 человек. Внутри агентства собрана топовая команда по закупке трафика, состоящая из 80 человек и работающая с огромными бюджетами.Мы входим в топ 5 самых влиятельных компаний в сфере мобильного маркетинга по версии AppsFlyer. Среди наших клиентов: Магнит, Перекресток, ОККО и многие другие. В нашу большую и дружную команду, в связи с увеличением количества задач, мы ищем увлеченных ребят, с аналитическим складом ума и огромным желанием учиться и развиваться в Digital - аналитике. С нас - опытные наставники, самые технологичные инструменты и безграничные возможности роста, с тебя - любовь к цифрам и усердность в работе. Чем предстоит заниматься   Регулярный сбор данных, построение отчетов, анализ и видоизменение дашбордов   Ведение статистики команды по отчетным периодам, подготовка отчетов, визуализация.   Выполнение adhoc-запросов.   Умение составлять запросы к внутренним БД.   Работа с push-уведомлениями в приложениях.   Контроль необходимых ресурсов команды.   Чего мы ждем   Отличное владение MS Excel, Google Sheets.   Владение SQL, опыт работы с большими объемами данных.   Аналитический склад ума, внимательность, усидчивостью.   Ответственность, полная отдача и внимание к деталям.   Что мы предлагаем   Гибкий график работы: рабочая неделя 5/2 с возможностью гибкого начала рабочего дня, дополнительные выходные.   Конкурентоспособную и стабильную зарплату.   Комфортные офисы в Москве с полноценным питанием, регулярные ивенты и другие бонусы, включая комнату отдыха с PS5, настольным теннисом, массажными креслами.   Драйвовую атмосферу: полное отсутствие бюрократии, формализма, легаси и открытые коммуникации.   Работу в профессиональной международной команде: возможность работать с коллегами, профессионалами своего дела мирового уровня, регулярное участие в международных конференциях и повышение квалификации.  "
