Ids,Employer,Name,Salary,From,To,Experience,Schedule,Keys,Description
97430926,Digital Таролог/Нумеролог,EVAMOBI,False,,,От 3 до 6 лет,Полный день,"['таро', 'нумеролог', 'Конкурентная аналитика', 'Mobile Marketing']","EVAMOBI - одно из самых быстрорастущих агентств мобильного маркетинга. В нашей команде работают одни из лучших специалистов в области betting, gambling, fintech вертикалей. Прямо сейчас мы ищем ТАРОЛОГА/НУМЕРОЛОГА, профессионала, который бы развивался и достигал целей вместе с нами.   Обязанности: - Подготовка раскладов в режиме онлайн и офлайн; - Определение привлекательности оффера и адекватности команды; - Разрешение сложных ситуаций: повысят ли ставку, дадут ли норм гео, зашейвят ли выплаты; - Определение работающих связок по офферу; - Взаимодействие с внутренней командой - проведение сессий; - Редкое взаимодействие с заказчиками: убеждение в нашей компетенции - как дополнительный сейлс формат.   Требования к кандидату: - Опыт работы от 3 лет в инфоцыгантве; - Обязательное умение работать с картами; - Навык определения будущего; - Внимательность, ответственность и исполнительность; - Английский уровня не ниже C1; - Опыт в мобильном маркетинге будет весомым преимуществом."
98087167,Frontend-разработчик,Р-Вижн,False,,,От 1 года до 3 лет,Удаленная работа,"['Typescript', 'React', 'Микрофронтенды', 'Vue', 'GraphQL', 'REST', 'CI/CD']","Обязанности:  Участие в разработке модуля для описания и использования сценариев автоматизации бизнес процессов, который позволит вручную или по расписанию выполнять сложные сценарии, использующие внешние зависимости и сервисы; Проведение code review; Взаимодействие с другими членами команды, в том числе аналитиками, backend- разработчиками и тестировщиками; Участие в командных созвонах и активностях (работаем по scrum).  Требования:   Знание экосистемы React (Typescript);   Знание и опыт использования современных архитектурных подходов к разработке frontend-приложений (реактивное и асинхронное программирование, подходы к управлению состоянием, виртуальный DOM, REST, GraphQL и т.п.);   Хорошее знание и опыт использования JavaScript (ES5/ES6+) и Typescript в связке с современными frontend-фреймворками (React, Vue и т.п.).   Будет плюсом:  Опыт проектирования UI/UX, понимание принципов дизайна; Опыт работы с микрофронтендами; Понимание принципов CI/CD.  Условия:  Работу в офисе, гибридном или удаленным формате; Оформление по ТК РФ, белую заработную плату; Все бонусы аккредитованной it-компании; ДМС со стоматологией и госпитализацией, покрытие страховки в путешествиях; 100% компенсацию больничного, +10 дополнительных дней в году на отгул по болезни; Программу корпоративных скидок и привилегий; Корпоративную библиотеку, обучение и участие в конференциях за счет компании; Разнообразные корпоративные мероприятия в онлайн и оффлайн форматах. "
96844214,Middle Frontend-разработчик (React/Vue),АгроТаргет,True,100000.0,170000.0,От 1 года до 3 лет,Полный день,"['JavaScript', 'CSS3', 'HTML5', 'CSS', 'HTML', 'React.js', 'vue.js', 'figma', 'react', 'Python', 'PostgreSQL', '1С-Битрикс']","Задача – проект по созданию и развитию цифровых инструментов для электронных расчётов в сельскохозяйственной отрасли. Разработка клиринговой системы расчетов в сфере АПК. ESCROW Operator AGRo Exchange. Заведение и отображение сделок; получение, обработка, посылка котировок; интеграция с системами миддл и бэкофиса; написание и отображение отчетов; парсинг сложных финансовых инструментов и данных; риск-менеджмент накопленных позиций. Развёртывание кластера аналитики данных + BI аналитика и инструментов предиктивного анализа. АО &quot;АгроТаргет&quot; – входит в число лидеров отрасли по разработки отраслевых ИТ решений, Аккредитация Минцифры, наличие грантовой поддержки. РАСТЕМ БЫСТРО, Дружная команда, поэтому ищем не сотрудников, уверенных командных игроков и на &quot;борт&quot; берем того, кто делает работу на результат, а не считает часы.   Обязанности:  Разработка пользовательских интерфейсов с применением фреймворка Vue.js или React; HTML-вёрстка макетов (кроссбраузерная и адаптивная вёрстка); Участие в разработке высоконагруженных проектов.  Требования:  умение работать в команде; ответственность и дисциплинированность; уверенное владение javascript уверенное владение одним из популярных фреймворков: React, Vue понимание процесса сборки фронтенда; умение читать и понимать чужой код; знание технологий HTML/XHTML/HTML5; знание CSS/CSS3; написание тестов на ключевой функционал исправление багов опыт кроссбраузерной и адаптивной вёрстки; опыт разработки высоконагруженных проектов; твёрдые знания принципов и технологий работы веб-сайтов; наличие успешно реализованных проектов, примеров кода, резюме; понимание и применение на практике основных паттернов проектирования;  Условия:  Работа в офисе или удаленная работа на полный рабочий день; Оформление: по ТК РФ; Испытательный срок: 2 месяца; Заработная плата: по результатам собеседования; График работы: 5/2, 09.00-18.00 "
97920154,Аналитик,Московский футбольный клуб,True,,121800.0,От 1 года до 3 лет,Полный день,"['MS PowerPoint', 'Аналитика', 'Сбор и анализ информации', 'Прогнозирование', 'Анализ бизнес показателей', 'Подготовка презентаций', 'Английский язык']","Футбольный клуб г.Москвы ищет в свою команду аналитика  Обязанности:  Разработка, подготовка, оформление презентаций для внутреннего и внешнего использования (информационные, отчетные и стратегические презентации, финансовые результаты, и проч.) - разрабатывать концепцию изложения, выстраивать логику и структуру презентаций для точного и понятного донесения смыслов. Разрабатывать визуальные концепты и стилистику презентаций. Создавать и актуализировать банк референсных слайдов. Превращать аналитический контент в графический вид – визуальные метафоры, схемы, наглядную инфографику, графики. Обрабатывать и структурировать значительный объём бизнес информации от всех подразделений компании, проводить анализ полученной информации, перерабатывать и адаптировать полученную информацию для выполнения задач. Построение финансовых моделей, анализ продаж билетов и атрибутики. Составление маркетинговых опросов. Обеспечить регулярную отчетность, которая будет наглядно показывать результат работы CRM, как в отдельных каналах, так и на верхнем уровне.  Мы рассчитываем, что ты владеешь навыками:  Опыт подготовки презентаций для руководителей высшего управленческого звена крупных российских и международных компаний; Уверенное владение Power Point , Adobe СС (Illustrator/Photoshop), Figma; Навыки работы с большим объемом информации (базами данных, большими массивами данных); Большая насмотренность на презентации; Высокий уровень навыков работы в Excel (ВПР, сводные таблицы); Оконченное высшее образование (приоритет технические Вузы или студенты экономических факультетов); Английский язык – чтение специализированный литературы.  Будет плюсом:  Знание HTML.  Наши условия:  Испытательный срок 3 месяца; ДМС и скидки по программе лояльности Клуба после окончания испытательного срока; После испытательного срока - возможен комбинированный график работы (офис/удаленка); Удобное расположение офиса - шаговая доступность от метро; Работа в большом московском футбольном клубе и дружном коллективе. "
96685345,Аналитик коммерческих показателей,Венеция Стоун,True,180000.0,,От 3 до 6 лет,Полный день,[],"Venezia Stone Company – крупнейший поставщик натурального камня в России. Наш шоу-рум в Москве – крупнейший в Европе. Наши склады – настоящие галереи, куда хочется прийти за атмосферой и вдохновением. Нас окружает одно из прекраснейших творений природы – натуральный камень с уникальными, яркими рисунками и неповторимым шармом. Мы ценим инициативу, амбиции, даем возможности горизонтального и вертикального карьерного роста. Мы всегда помогаем друг другу и работаем только на результат! В настоящее время мы в поиске Аналитика коммерческих показателей. Работа исключительно в офисе, не гибрид и не удаленно. Обязанности:  Лидирование направления в части организации работы по оптимизации операционных процессов блока коммерческого департамента с учетом операционных рисков; Разработка методик (модели) сбора и анализа данных в рамках операционных процессов блока коммерческого департамента и проектов; Подготовка Технического задания на автоматизацию операционных процессов (предоставление ТЗ, данных, тестирование доработок, приемка работ); Администрирование процесса обеспечения однородных и согласованных данных в разных информационных системах экосистемы компании; Участие в проверке полноты и согласованности данных в рамках выполнения операционных процессов коммерческого департамента и проектов; Организация проведения обучения сотрудников, проектных команд, экспертов и других участников процессов в части использования и анализа данных.  Требования:  Навыки работы в 1С на уровне эксперта (умение выгружать данные, формировать отчеты); Exсel - продвинутый пользователь (сводные таблицы); Навыки построения дашбордов (желательно Power BI) Навыки написания понятным языком для IT технических заданий; Опыт анализа и построение базы данных. Опыт сбора и автоматического преобразования данных для анализа; Опыт внедрения изменений в компании, направленных на совершенствование деятельности, производимые и измеряемые с точки зрения бизнес-процессов и их показателей; Опыт подготовки Технического Задания по разработке /доработке информационных систем, участие в автоматизации операционных процессов и сбора данных; Опыт/участие в роли заказчика в рамках реализации проектов по автоматизации операционных процессов; Личные качества: легкий переговорщик, умение быстро устанавливать контакт и находить общий язык с бизнесом, выявлять потребности\&quot;боли&quot;. Важно уметь предлагать решения, а не критиковать.  Наши достоинства и преимущества: Комфортные условия труда:  Современный офис, оснащенный всем необходимых для продуктивной работы; Дружелюбная атмосфера в коллективе, адекватное руководство; Содействие в мягкой адаптации; У нас минимальная текучесть, стабильный коллектив.  Вклад в Ваше развитие:  Прекрасные возможности карьерного и профессионального роста; Корпоративное и индивидуальное обучение в собственном Корпоративном университете; Работа с руководителем, готовым делиться знаниями и опытом; Участие в выставках, конференциях, мастер-классах.  Забота о персонале:  Легко добраться. Местонахождение офиса - 15 мин на корпоративном транспорте от м. Теплый Стан (автобус отправляется в 08.40 ч., обратно - в 18.10 ч.); Корпоративная мобильная связь; Чай/кофе за счет компании; Собственная парковка.  Интересная социальная жизнь:  Дни рождения, праздники на достойном профессиональном уровне; Спортивные активности; Благотворительные акции и волонтерство.  Дисциплина труда:  Оформлении по ТК РФ; Заработная плата обсуждается с успешным кандидатом; График работы - будни с 9:00 до 18:00, без задержек.  ...И еще....у нас просто ХОРОШО!)). ​​​​Откликайтесь, будем рады встрече!"
98091016,Frontend разработчик (React),Datanomica,True,230000.0,250000.0,От 3 до 6 лет,Удаленная работа,"['React', 'Redux', 'HTML', 'JavaScript', 'CSS', 'Git', 'Webpack']","Привет! Мы — ООО «Датаномика», решаем проблемы структурирования разнородных данных, которые сложно поддаются анализу, помогаем среднему и малому бизнесу, банкам, ритейлу использовать данные чеков для оценки конъюнктуры спроса и экономических показателей, помогаем банкам повысить качество сервиса финансового планирования и аналитики для клиентов. О проекте: Продукт для разметки клиентских профилей признаками нахождения в перечнях из внешних источников. Продукт включает в себя поиск совпадений в большом объеме данных. В задачи продукта входит стадия подготовки, нормализации данных, поиска подобий в данных и поддержка фронт системы для принятия решений о совпадении операторами. Также, в задачи команды входит формирование регуляторной отчетности. О команде: 9 человек, включая владельца продукта: Java-разработчики, Аналитики, Фронтенд-разработчики. Технологический стек: Java, PostgreSQL, Kafka, Openshift, Hadoop, Spark, Jenkins, Scrum с двухнедельными спринтами. Обязанности:   Разработка и поддержка фронтенд-части рабочего места контролера санкций   Верстка и реализация логики фронтенда   Участие в планировании, обсуждении пользовательских сценариев и интерфейса   Требования:  Опыт работы с React, Redux Знание и уверенное владение HTML, CSS, CSS Modules Знание и уверенное владение JavaScript Уверенное владение Git Знание и опыт работы с webpack, npm  Мы предлагаем:  Работа в ИТ-аккредитованной компании; Удаленный формат работы на территории РФ; Гибкий график работы; Официальная «белая» зарплата; Оформление с первого рабочего дня, полное соблюдение ТК РФ; Интересные, амбициозные задачи с достижимым результатом; Достаточную свободу действий, инструментарий и необходимые ресурсы; Регулярное обучение и профильные конференции, современное оборудование для работы; Бонусы по результатам года. "
97561222,Frontend developer,Стеллар,True,,304500.0,От 3 до 6 лет,Полный день,[],"  Stellar – российская FinTech компания, ведущий разработчик цифровых решенийБолее 6 лет мы ведем собственную продуктовую и заказную разработку высокоэффективных цифровых решений в FinTech. Среди наших заказчиков – крупнейшие игроки ключевых отраслей экономики: государственные и финансовые компании. С помощью Stellar они проводят цифровые трансформации и реализуют высокотехнологичные проекты: выстраивают бизнес - процессы, улучшают сервис и повышают продажи.На чём мы специализируемся:   полный цикл разработки ПО   поставки ИТ оборудования   системная интеграция   Big Data, ML   информационная безопасность   сервисная поддержка   В Stellar мы запускаем новые и развиваем существующие продукты, активно осваиваем новые рынки. Наша команда постоянно растёт. Мы ищем сильных, амбициозных профессионалов: программистов, аналитиков, тестировщиков, маркетеров, дизайнеров и менеджеров по продажам. Мы находимся в поиске опытного Frontend pазработчика, который будет участвовать в разработке приложений на самом современном стеке! Вам предстоит:  Разработка новых сервисов с нуля; Взаимодействие с командой проекта.  Что нужно знать:  HTML и css (less) — хотя бы на базовом уровне; React и его окружение (Redux/Redux Toolkit, React Query будут плюсом), Typescript; Git; Понимание, как работают системы сборки (например, Webpack). Будет плюсом умение конфигурировать систему сборки под требования проекта; Также плюсом будет умение работать с Docker, написание unit тестов на frontend (Jest, React testing library).  Наши ожидания от кандидата:  Высшее техническое или экономическое образование; Опыт работы в роли руководителя IT проектов от 3х лет; Опыт управления командой разработки: системные аналитики, разработчики, qa; Знание принципов гибких методологий разработки; Опыт в системном анализе; Чувство прекрасного для разработки лучших продуктов, которыми будут пользоваться тысячи пользователей.  Мы предлагаем:  Удаленка: работу из дома, из офиса в Москва-Сити или оплачиваемого коворкинга; Деньги: белую ЗП всегда в рынке, оформление ТК РФ; Комфортный старт: 3 месяца плавного погружения под присмотром HR; Поддержка: ИТ-отсрочку и HR / юридические консультации 24/7; Культура: прозрачные процессы и открытую коммуникацию; Мощное железо: работу на лучших компах, мы не логируем время, у нас фокус на доверии и результате; ДМС: твое лечение за счет компании; Развитие: индивидуальный план обучения, конференции и митапы, мы помогаем развиваться и строить карьеру; Личный бренд: выступления на конференциях, митапах, написание статей; Бенефиты: ежеквартальное обновление корпоративных скидок; Движ: вечеринки оффлайн и онлайн, мерч, конкурсы и челленджи.  Откликайтесь, будем рады познакомиться лично!"
96836660,Аналитик BI,Московский филиал АО ЦентрИнформ,False,,,От 1 года до 3 лет,Полный день,[],"Обязанности:  Предподготовка данных Аналитика на основе данных из различных хранилищ данных Аналитическая работа по различным запросам от руководства компании и отделов Контроль качества данных Создание и оптимизация отчетов и моделей данных  Требования:   Уверенное знание SQL будет плюсом T-SQL, PlSql   Высокий уровень владения Excel   Будет плюсом опыт работы с любым ETL-движком   Опыт аналогичной работы от года   Условия:  Интересная работу с возможностью профессионального роста в стабильной российской компании (крупный системный интегратор в области информатизации и защиты информации) с ИТ-проектами федерально масштаба; Обучение и конференции за счет компании по согласованию с руководителем. Место работы - ст. м. Белорусская; Официальная заработная плата, оформление по ТК РФ с первого рабочего дня. "
96453968,Frontend-разработчик (React/Next.js),AWG,False,,,От 3 до 6 лет,Полный день,"['HTML', 'CSS3', 'ReactJS', 'JavaScript', 'React', 'Redux', 'Next.js', 'SSR', 'TypeScript', 'Git', 'Docker', 'Redux Toolkit']","Мы в поисках Frontend-разработчиков уровня middle+ в одну из наших команд, для реализации нового проекта в сфере e-com. Предстоит реализовать переход с монолита на микросервисы, комплекс работ по редизайну, доработкам web-сайта и мобильного приложения. Чем предстоит заниматься:  Разрабатывать модули и компоненты нового frontend-приложения Верстать компоненты с дизайн-макетов (Figma) Проводить оценку задач совместно с аналитиками или самостоятельно Участвовать в проектировании микрофронтовой архитектуры Участвовать в x-review  Для нас важно:  Опыт работы в роли frontend-разработчика от 5-ти лет Работа в e-com или retail проектах будет преимуществом Уверенное владение JavaScript/TypeScript Работа с React/Redux, SCSS, Webpack, GitFlow Опыт применения на проектах Next.js (V13+) Знаешь что такое принципы DRY, KISS Используешь компонентный подход, знаешь State Machine и понимаешь ООП, в идеале применяешь ООП при разработке на TypeScript Понимаешь принципы микросервисной архитектуры и её отличий от монолитной архитектуры  Вы еще не знаете насколько классно и круто быть частью AWG? Рассказываем!  Мы за эффективность. Вы сами выбираете формат работы (офис, гибрид или удалёнка) и время начала рабочего дня. Развиваемся вместе. У нас есть своя база менторов. Вы можете выбрать конкретного эксперта, который поможет вам в вашем развитии. Предоставляем доступы к внутренним курсам и корпоративной библиотеке AWG, оплачиваем внешнее обучение и конференции. Классный социальный пакет. У нас целый интернет-магазин, в котором можно самому собрать свой социальный пакет. Вы выбираете то, что вам действительно нужно: ДМС, фитнес, иностранные языки, авиабилеты, услуга психолога, оплата службы доставки еды, подарочные карты и многое другое. Широкий спектр проектов. У нас есть возможность перейти на другой проект в рамках выбранного направления или даже изменить сферу деятельности. Корпоративная культура. Мы любим спортивные мероприятия, квесты, а еще сами организовываем ивенты на нашей открытой террасе в центре Москвы. И наше самое любимое. Уже больше 6 лет мы проводим уникальное движение #AWGTravel, когда компания устраивает корпоративные выезды, где мы общаемся, переключаемся, перезагружаемся и достигаем вместе крутых результатов.  Всё это не конечный список, развитие не стоит на месте! Давай к нам!"
97690848,Аналитик данных,ВкусВилл,False,,,От 1 года до 3 лет,Полный день,"['SQL', 'Power BI', 'MS Excel']","Привет! Мы в поиске аналитика в Управление корпоративных финансов и развития бизнеса.Чем предстоит заниматься:   Расчет и оценка эффективности, анализ инвестиционной деятельности компании;   Анализ финансовых показателей управленческого учета и построение отчетов по результатам отчетного месяца/года для регулярной аналитики;   Подготовка и ведение отчетов по сегментам торговых точек для предоставления бизнес направлением;   Работа с большими массивами данных в части подготовки и визуализации дашбордов;   Участие в ИТ-проектах в части постановки бизнес задачи: анализ и сопровождение запросов на автоматизацию;   Поддержка, доработка и автоматизация существующих аналитических отчетов.     Наш кандидат:   Умеет анализировать финансовые и бизнес-показатели, и презентовать выводы для принятия управленческих решений;   Владеет Excel на продвинутом уровне (сводные таблицы, Power Query);   Имеет знание SQL на уровне базовых запросов;   Умеет работать с данными в Power BI;   Опыт работы от 1 года, желательно в области ритейла.   Преимуществом будет:  Высшее образование (предпочтительно направление финансы/экономика);  Условия:   Работа в постоянно растущей и развивающейся компании;   Интересные и масштабные задачи и возможности для их эффективной реализации;   Можно работать удаленно;   Программа «Здоровый сотрудник»: частичная компенсация медицинских услуг, ДМС и абонемента в фитнес-клуб;   Кешбэк 15% бонусами на покупки во ВкусВилл;   Возможности обучения по самым разным направлениям (тренинги, книжные клубы, открытые семинары), корпоративные психологи;   Привилегии от партнеров;   Уровень заработной платы обсуждается индивидуально на интервью;  "
