Ids,Employer,Name,Salary,From,To,Experience,Schedule,Keys,Description
97632224,Аналитик (Excel),Азбука Качества,True,150000.0,,От 1 года до 3 лет,Полный день,[],"Азбука качества – успешная и стабильная производственно-торговая компания (молочная продукция) с 20-летней историей. Мы растем и ищем в нашу команду аналитика!   Обязанности:  Бизнес аналитика, торговая аналитика; Проведение аналитической работы с целью сбора, оценки и анализа получаемой информации; Организация аналитического и методического обеспечения проведения исследовательских работ; Предоставление информации соисполнителям при подготовке презентации проекта, ведение проекта, подведение итогов; Составление необходимой отчетной документации.  Требования:  Высшее образование (преимущество имеют кандидаты с экономическим, математическим образованием); Хорошее знание Excel (работа со сводными таблицами, объемным массивом данных, желательно знание макросов VBA), желательно знание 1С; Умение писать SQL запросы (текущая SQL база готова, требуется только умение писать запросы); Умение писать макросы для MS Office будет преимуществом; Наличие красного диплома/медали в школе будет преимуществом.  Мы предлагаем:  Работу в динамично растущей компании; Компетентный, молодой, сплоченный коллектив; Профессиональное развитие; Комфортную адаптацию; Достойную заработную плату - оклад (обсуждается индивидуально с успешным кандидатом); Оборудованную кухню с неограниченным количеством чая, кофе, посудой; Скидки на продукцию компании; График 5/2 с 9:00 до 18:00; Современный офис, Аргуновская 3к1, метро ВДНХ. "
98071966,Frontend разработчик (трайб Corporate),АО «ОТП Банк» (JSC «OTP Bank»),False,,,От 3 до 6 лет,Удаленная работа,"['MobX', 'Scrum', 'Redux', 'JavaScript', 'Agile Project Management', 'Typescript', 'React']","Кто мы: ОТП Банк – это банк с понятной философией. У банка есть миссия – стать самым клиентоцентричным банком страны. Банк хочет не только предоставлять весь спектр современных банковских услуг, обеспечивать отличный опыт взаимодействия через цифровые каналы и предлагать выгодные и удобные продукты, но и вызывать эмоции. Поддерживать устремления тех, кто открыт новому, тех кто с оптимизмом смотрит на жизнь и готов к смелым поступкам. Чтобы внутренний образ соответствовал внешнему мы изменились визуально и стали намного ярче. Каждый новый цвет обозначает конкретное качество, а вместе они формируют цветовую фотографию эмоций ОТП. В этом суть репозиционирования банка, ведь бренд и его восприятие важны как для клиентов, так и для сотрудников. Трайб:  Corp&amp;SME, мы разрабатываем и внедряем лучшие решения для Юридических лиц. Основные цели команды – улучшение клиентского опыта, оптимизация внутренних процессов и создание новых продуктов и услуг для Крупнейших и МСБ клиентов. Вакансия:  Frontend Developer Чем предстоит заниматься:  Разработка новой функциональности продуктов Банка для юридических лиц Разработка пользовательских интерфейсов на JavaScript с использованием библиотек React/Redux Реализация взаимодействия с backend частью микросервисных приложений; Разработка Unit тестов и UI тестов; Участие в разработке фронт-слоя продуктов Банка на базе микросервисной архитектуры; Участие в разработке архитектурных решений; Обеспечение высокого качества поставляемого программного кода за счет использования; инструментов контроля качества и написания модульных тестов; Общение с бизнес экспертами, методологами, аналитиками, разработчиками, архитекторами, дизайнерами своей и смежных команд; Участие в формировании целей и задач команды, генерации идей и проверки гипотез; Проведение валидации программного кода Участие в регулярных мероприятиях команды по методологии SCRUM: ежедневные встречи, планирование спринтов, декомпозиция задач спринта, обзор результатов спринта.  Что мы ждем от успешного кандидата:  Знание JavaScript и ES6, Typescript; Опыт работы с React от 3 лет, Typescript; Умение проектировать дерево состояний приложения с помощью Redux (redux saga); Умение верстать проекты по макетам Figma; Уверенные знания HTML, CSS/LESS/SASS, опыт кроссбраузерной верстки; Понимание методов и знание инструментов тестирования (unit, e2e тесты).  Плюсом будет:  Опыт работы в Agile командах по методологии SCRUM; Опыт развития классических банковских продуктов для юридических или физических лиц: платежей и переводов, депозитов, карт.  Что мы предлагаем:  Красивый офис/удобное рабочее место (м. Войковская) или удаленный формат (на территории РФ); Возможность изменять время начала и конца рабочего дня по согласованию с руководителем; Отсутствие строгого дресс-кода (мы лояльны к любому проявлению личного стиля); Программы поощрения ОТП Мания (когда ты за внутреннюю валюту можешь купить себе как толстовку, так и day-off, например); Welcome pack; ДМС (а также возможность его замены на фитнес); Льготные условия по кредитам и депозитам; BestBenefits – сервис скидок и привилегий (техника и электроника, рестораны и доставка, обучение, отдых, спорт, красота и здоровье, товары, развлечения, услуги, детские товары и развлечения); Управленческое обучение, развитие навыков личной эффективности, профессиональное развитие; Участие в корпоративных и спортивных мероприятиях (он-лайн и офф-лайн); Корпоративная библиотека и Bookcrossing; Детские подарки к Новому Году. "
97452036,Бизнес аналитик,АйТиИ Экспо Интернешнл,False,,,От 3 до 6 лет,Полный день,[],"Обязанности: - Поддержка разработки новой методологии для измерения и стимулирования ценности для клиента: - анализ эффективности мероприятий деловой программы; - сбор и сортировка данных из различных источников (внутренние базы данных, исследования рынка, опросы и внешние поставщики данных - систематизация и анализ больших объемов данных для выявления тенденций, закономерностей и корреляций; - использование статистических методов и инструментов визуализации данных; - трансформация данных для принятия стратегических решений в различных подразделениях; - взаимодействие с заинтересованными сторонами для понимания бизнес-требований и определения ключевых областей для анализа; - заблаговременное выявление и рисков и предложение рекомендаций по их минимизации; - подготовка отчетов и презентаций для Руководства; - обеспечение точности и достоверности предоставляемых данных путем проверки источников данных и методологий; - взаимодействие с командой обработки данных из Дубая по улучшению информационных панелей и визуализации данных; - взаимодействие с межфункциональными командами (отдел маркетинга, разработки продуктов, обработки данных, организации мероприятий и финансов); Требования:​​​​​​ - Высшее образование (бакалавр или магистр) в области бизнеса, экономики, статистики или смежных областях; - подтвержденный опыт работы в области анализа данных, бизнес-аналитики или аналогичной должности, предпочтительно в сфере консалтинга, маркетинговых исследований или корпоративной стратегии; - владение инструментами статистического анализа, а также инструментами визуализации данных, такими как Tableau или Power BI; - отличные аналитические навыки и умение решать проблемы, а также способность преобразовывать сложные данные в практическую информацию; - отличные навыки общения и презентации, а также умение донести техническую информацию до нетехнической аудитории; - опыт проведения маркетинговых исследований, анализа потребительских предпочтений или анализа конъюнктуры рынка в быстро меняющейся динамичной среде; - английский язык - свободное владение; - Power Point, Excel - продвинутый пользоваттель. Условия: - Работа в компании – лидере рынка, участие в центральных отраслевых выставках, возможность приложить свои силы к масштабным интересным проектам; - оформление по Трудовому кодексу РФ в штат компании; - свобода в планировании своей работы: гибридный режим работы, гибкое начало рабочего дня; - заработная плата обсуждается индивидуально: оклад+годовой бонус за достижение KPI; - высокопрофессиональный доброжелательный коллектив с развитой системой ценностей, атмосфера взаимного уважения, открытый обмен знаниями и лучшими практиками; - добровольное Медицинское Страхование со стоматологией, - корпоративные курсы английского, возможность постоянно применять знание английского в работе и развивать свой уровень; - активная корпоративная жизнь: мероприятия для сотрудников, внутрикомпанейские конкурсы, участие в благотворительности, совместные занятия спортом; - офис расположен в шаговой доступности от станции метро Красносельская.        "
96116704,Стажер аналитик / разработчик (SQL / Python),КОРУС Консалтинг,False,,,Нет опыта,Гибкий график,"['Python', 'SQL', 'Анализ данных', 'Базы данных', 'Системный анализ', 'DWH']","Департамент аналитических решений (ДАР) открывает набор на стажировку.   Мы погружены во все современные направления в области работы с данными:  внедрение BI-систем и систем аналитической отчетности; проектирование хранилищ и витрин данных; разработка в области продвинутой аналитики и больших данных; применение прикладных продуктов с использованием Machine Learning; внедрение решений в области управлениям данными (Data Governance, Data Quality)  Мы открываем набор на стажировку для :  Бизнес-аналитика Системный аналитика Дата-инженера Разработчика BI  Старт программы 01.07.2024 Длительность: 5-6 недель Формат сотрудничества: частичная занятость, будут обязательные онлайн-встречи, остальное время распределяешь сам.   Приходи к нам на стажировку, чтобы:   Попробовать себя в реальных задачах в рамках ИТ-проекта. Получить опыт в разных ролях: бизнес-аналитик, системный аналитик, дата-инженер/разработчик BI. Узнать про прикладные и полезные фишки в ИТ-консалтинге. Поучаствовать в обучающих вебинарах от экспертов в области работы с данными. Получить индивидуальную обратную связь, ЧТО можно развивать, а главное КАК? Узнать, как успешно пройти интервью на твое первое место работы.  После стажировки:  Сделаем оффер лучшим стажерам и выплатим единовременный бонус после трудоустройства к нам. Выдадим сертификат о прохождении стажировки всем участникам. Оформим все для твоей практики: подпишем документы, приказы и отзывы.  Как попасть на стажировку?  Оставь отклик на эту вакансию с сопроводительным письмом до 25.04. Расскажи: Что хочешь получить от стажировки? Какие твои сильные стороны? Жди приглашение на почту на наш онлайн-вебинар (предварительная дата 27.04). Пройди тестовое задание. Участвуй в групповой дискуссии. Активно проявляй себя на обучающих вебинарах. Получи приглашение на стажировку.  Что ждем от тебя:  Ты учишься на 3-4 курсе бакалавриата или 1-2 курс магистратуры по профильному направлению – ИТ/математика/программирование/бизнес-информатика ИЛИ прошел профильные курсы переквалификации и теперь хочешь развиваться в бизнес/системном анализе/ разработке BI / разработке баз данных. Территориально в Москве , СПб, Ярославле. Знаешь как работают JOINы и подзапросы в SQL. Умеешь работать с базовыми типами в Python, знаешь, в чем отличие Return от Yield. Ты активно задаешь вопросы, быстро вникаешь в суть проекта, а главное, хочешь изучать и погружаться в наши технологии.  Успешному стажеру после трудоустройства к нам готовы предложить:  Специализированные программы обучения для аналитиков и разработчиков, курсы от корпоративного университета, субсидии на внешнее обучение Постоянная поддержка наставника Гибкий рабочий график (нет фиксированного времени присутствия в офисе) Крутые корпоративные мероприятия, регулярные встречи проектных команд и другие активности Оформление в штат компании, согласно ТК РФ, “белая” заработная плата, ДМС и все остальные стандартные бенефиты. Комьюнити внутри компании (как спортивные, так и профессиональные).  Откликайся, будет интересно!"
97095572,Junior Вебмастер / Junior Front-end,ВебБустер,True,30000.0,,Нет опыта,Полный день,"['Аналитический склад ума', 'Веб-программирование', 'PHP', 'JavaScript', 'HTML', 'CSS', '1С-Битрикс', 'CMS Wordpress', 'Наполнение контентом', 'Верстка', 'Кроссбраузерная верстка', 'Gulp', 'Bootstrap', 'HTML-верстка', 'Администрирование сайтов', 'Адаптивная верстка', 'Bitrix', 'CMS']","Группа WebBooster занимается комплексным интернет-маркетингом, бизнес-аналитикой и консалтингом. Мы растем и ищем в команду специалистов, который после успешного прохождения испытательного срока вольется в нашу банду и будет развивать проекты наших любимых клиентов. Обязанности:  Внедрять на сайтах функциональные изменения (новые страницы, подключение модулей, формы и тд) Внедрять на сайтах визуальные изменения (редизайн, мобильная версия, верстка отдельных страниц и тд Создание Лендингов  Плюсом будет, знание CMS  Необходимые навыки:  Понимание php, достаточное для работы с шаблонами CMS; Разбираться в CSS, JS на уровне веб мастера; Понимание работы основных модулей/плагинов CMS; Гуглить информацию.  Условия:  Молодой, дружный и профессиональный коллектив; Работа в интересной, умной и быстрорастущей отрасли и компании; Быстрая прокачка компетенций по многим навыкам, связанным с технической поддержкой и разработкой; Перспективы профессионального и карьерного роста; Офис на м. Спартак; График 5/2, обсуждает Испытательный срок 2 месяца;    Если Вам интересно и нравится, но сомневаетесь в каких-то пунктах - все равно пишите :)  "
97631740,Младший аналитик (Excel),Азбука Качества,True,80000.0,,Нет опыта,Полный день,[],"Азбука качества – успешная и стабильная производственно-торговая компания (молочная продукция) с 20-летней историей. Мы растем и ищем в нашу команду аналитика!   Обязанности:  Бизнес аналитика, торговая аналитика; Проведение аналитической работы с целью сбора, оценки и анализа получаемой информации; Организация аналитического и методического обеспечения проведения исследовательских работ; Предоставление информации соисполнителям при подготовке презентации проекта, ведение проекта, подведение итогов; Составление необходимой отчетной документации.  Требования:  Высшее образование (преимущество имеют кандидаты с экономическим, математическим образованием); Хорошее знание Excel (работа со сводными таблицами, объемным массивом данных, желательно знание макросов VBA), желательно знание 1С; Умение писать SQL запросы (текущая SQL база готова, требуется только умение писать запросы); Умение писать макросы для MS Office будет преимуществом; Наличие красного диплома/медали в школе будет преимуществом.  Мы предлагаем:  Работу в динамично растущей компании; Компетентный, молодой, сплоченный коллектив; Профессиональное развитие; Комфортную адаптацию; Достойную заработную плату - оклад (обсуждается индивидуально с успешным кандидатом); Оборудованную кухню с неограниченным количеством чая, кофе, посудой; Скидки на продукцию компании; График 5/2 с 9:00 до 18:00; Современный офис, Аргуновская 3к1, метро ВДНХ. "
97598322,Junior+ django backend-developer,Автомакон,True,80000.0,110000.0,От 1 года до 3 лет,Удаленная работа,"['Python', 'Django Framework', 'Docker', 'PostgreSQL']","Привет, это team-lead проекта, для которого составлена данная вакансия.   Подробнее:   Кодовая база обширна (35 django-подсистем). Разработка ведется по системе Agile. Спринт - 1 неделя. Основные технологии:   odevlib - opensource-библиотека, которая изначально писалась на под этот проект  django, drf; drf-spectacular для автогенерации schema, swagger; celery+redis для background-задач; poetry для управления пакетами; ruff - присутствует в pre-commit hook. Остатки black, flake8, isort удалены из проекта, полностью заменены руфом; mypy - статическая типизация крайне важна в данном проекте; drf-access-policy - пока что практически не использовали, но, в будущем, планируем перевести часть подсистем на него; just - CLI-tool для удобного хенделинга локального запуска для разработчиков; PostgresQL.    Фронт - на Vue.js. Pipeline - gitlab CI на kubernetes, docker-compose. Используется centry для отлова ошибок Random notes: Время на рефакторинг выделяется стабильно. Аналитики/QA крайне толковые, пишут подробные ТЗ к задачам и bug-report&#39;ы на Markdown в task-tracker  Основная часть документации содержится в swagger description, однако, часть бизнес-логики, которую расписывают аналитики, хранится отдельно; Идеи поощряются. Цель - не отставать по стеку и постоянно улучшать архитектуру.    Кого мы ищем? Глубокое знание теории нас интересует в меньшей степени. Алгоритмы для вашей работы пригождаются далеко не каждый день. Паттерны разработки будут полезны, но также, неприоритет;  нужен человек, которому также интересно писать код, как и мне; нужно хорошее практическое знание python. Уверенное написание кода; опыт работы с django и restframework + крепкое понимание их основ: сериализаторов, ViewSet&#39;ов, роутизации, моделей и т.д; знание ветвлений git, слияний веток, push/pull и других основных команд.    Что нужно будет делать? делать фичи, ба(О)гофиксы;  продумывать архитектуру бэкенда согласно ТЗ аналитиков; рефакторить; писать автотесты.  Конечно же, я буду уделять много времени на помощь по внедрению нового специалиста в проект: обучать, скидывать материалы, проводить code-review.   Если у вас есть крутая задача, которую вы выполняли, либо проекты на github - большой плюс, прикладывайте к сопроводительному письму."
97506701,Младший аналитик (IT),Olima,True,100000.0,140000.0,Нет опыта,Полный день,"['Анализ данных', 'SQL', 'Разработка технических заданий', 'Python', 'MS Visio', 'Аналитическое мышление', 'Аналитика', 'Системное мышление', 'Составление технических заданий', 'Описание бизнес-процессов']","Мы – IT кадровое агентство. Трудоустраиваем кандидатов в компании на должности бизнес-аналитик и системный аналитик. Рассматриваются кандидаты без опыта Наши услуги по трудоустройству для кандидатов платные. Оплата происходит после трудоустройства с заработных плат Обязанности:  Анализ процессов компании Составление схем бизнес-процессов Составление технических заданий (ТЗ) Постановка задач разработчикам Контроль сроков выполнения задач Расстановка приоритетов по задачам Составление инструкций для пользователей  Требования:  Опыт работы в данной сфере необязателен. Перед трудоустройством проводится подготовка Приветствуются базовые знания SQL, Java, Python, C#, JavaScript, PHP  Условия:  Полностью белое трудоустройство по ТК РФ График работы: 5/2 с 09:00 до 18:00 или с 10:00 до 19:00 Работа в офисе, кандидаты на удаленную работу не рассматриваются! Оклад: 100 000 – 140 000 рублей на руки (после вычета налогов)  Если Вы приняли решение, что хотите попробовать свои силы, тогда оставляйте отклик на вакансию. Мы ждем именно Вас!"
97827946,Бизнес-аналитик IT,SilVal,True,100000.0,160000.0,Нет опыта,Полный день,"['SQL', 'UML', 'BPMN', 'Аналитическое мышление', 'Разработка технических заданий', 'Atlassian Jira', 'MS Visio', 'Jira', 'Анализ требований', 'Бизнес-анализ', 'Сбор и анализ информации', 'Техническая документация', 'Моделирование бизнес процессов', 'Написание технических заданий']","ОБРАТИТЕ ВНИМАНИЕ, УСЛУГИ КАДРОВОГО АГЕНТСТВА ДЛЯ СОИСКАТЕЛЕЙ ПЛАТНЫЕ Мы - кадровое агентство. Обучаем (если необходимо), подготавливаем и трудоустраиваем аналитиков в команды разработки программного обеспечения. Берём как кандидатов без профильного опыта, так и кандидатов с опытом. Перед трудоустройством проводим подготовку к собеседованиям и обучение, если это необходимо. Услуги для кандидатов платные, оплата только после трудоустройства. После прохождения подготовки вы получите профильные навыки аналитика, такие как:  Сбор требований Написание технических заданий Анализ бизнес-процессов Составление схем процессов в нотациях BPMN и UML Постановка задач разработчикам Аналитическая поддержка разработки и тестирования Написание документации Составление инструкций для пользователей Составление SQL запросов Взаимодействие с базой данных  Требования:  Опыт работы в разработке необязателен Приветствуются базовые знания SQL  Условия:  Полностью официальное трудоустройство Белая заработная плата График работы: 5/2 Работа в офисе, с возможностью удалённого графика Оклад 100 000 - 160 000 рублей на руки  Если вы прочли описание вакансии и она Вас заинтересовала. Напишите слово &quot;Ознакомлен&quot; в сопроводительном письме, для оперативной связи с Вами. "
97920027,Аналитик трафика,Callmedia,True,80000.0,120000.0,От 1 года до 3 лет,Удаленная работа,"['Аналитические исследования', 'Аналитическое мышление', 'Аналитика', 'Бизнес-анализ', 'Анализ данных']","KMA.BIZ (KissMyAds) — одна из крупнейших российских товарных партнерских программ, основана в 2013 году. У нас есть собственная линейка товаров для здоровья и красоты и партнерская программа по их продвижению. Мы обеспечиваем полный цикл создания и развития своих офферов, начиная от разработки продуктовой и маркетинговой концепций, и заканчивая обработкой заявок собственным call-центром и доставкой товаров клиентам. География продаж — Россия, СНГ, Европа, Азия, США. Чем предстоит заниматься:     Анализ трафика веб-мастеров по уже готовым отчетам в разрезе различных Гео.   Анализ офферов вебов по различным Гео.   Модификация существующих отчетов в различных срезах под запросы бизнеса.   Наши ожидания:   Опыт работы аналитиком от 1 года.   Умение делать правильные выводы на цифрах, ставить ТЗ по доработке отчетов.   Умение писать несложные запросы на SQL.   Умение работать хотя бы в одной из BI систем.   Мы готовы предложить:  Официальное трудоустройство по ТК РФ. Позитивную рабочую атмосферу в дружном коллективе. График работы 5/2 с гибким началом рабочего дня. Работу удаленного формата. Стабильную заработную плату (выплачивается два раза в месяц, без задержек). Уровень заработной платы обсуждается в ходе собеседования. Возможности карьерного роста, так как направление активно развивается. Мы поддерживаем стремление построить карьеру и реализовать себя.  Если ты заинтересован, хочешь присоединиться к команде профессионалов и получить ценный опыт, то скорее присылай своё резюме!Мы обязательно его рассмотрим и свяжемся с тобой ;)"
