Ids,Employer,Name,Salary,From,To,Experience,Schedule,Keys,Description
97561222,Frontend developer,Стеллар,True,,304500.0,От 3 до 6 лет,Полный день,[],"  Stellar – российская FinTech компания, ведущий разработчик цифровых решенийБолее 6 лет мы ведем собственную продуктовую и заказную разработку высокоэффективных цифровых решений в FinTech. Среди наших заказчиков – крупнейшие игроки ключевых отраслей экономики: государственные и финансовые компании. С помощью Stellar они проводят цифровые трансформации и реализуют высокотехнологичные проекты: выстраивают бизнес - процессы, улучшают сервис и повышают продажи.На чём мы специализируемся:   полный цикл разработки ПО   поставки ИТ оборудования   системная интеграция   Big Data, ML   информационная безопасность   сервисная поддержка   В Stellar мы запускаем новые и развиваем существующие продукты, активно осваиваем новые рынки. Наша команда постоянно растёт. Мы ищем сильных, амбициозных профессионалов: программистов, аналитиков, тестировщиков, маркетеров, дизайнеров и менеджеров по продажам. Мы находимся в поиске опытного Frontend pазработчика, который будет участвовать в разработке приложений на самом современном стеке! Вам предстоит:  Разработка новых сервисов с нуля; Взаимодействие с командой проекта.  Что нужно знать:  HTML и css (less) — хотя бы на базовом уровне; React и его окружение (Redux/Redux Toolkit, React Query будут плюсом), Typescript; Git; Понимание, как работают системы сборки (например, Webpack). Будет плюсом умение конфигурировать систему сборки под требования проекта; Также плюсом будет умение работать с Docker, написание unit тестов на frontend (Jest, React testing library).  Наши ожидания от кандидата:  Высшее техническое или экономическое образование; Опыт работы в роли руководителя IT проектов от 3х лет; Опыт управления командой разработки: системные аналитики, разработчики, qa; Знание принципов гибких методологий разработки; Опыт в системном анализе; Чувство прекрасного для разработки лучших продуктов, которыми будут пользоваться тысячи пользователей.  Мы предлагаем:  Удаленка: работу из дома, из офиса в Москва-Сити или оплачиваемого коворкинга; Деньги: белую ЗП всегда в рынке, оформление ТК РФ; Комфортный старт: 3 месяца плавного погружения под присмотром HR; Поддержка: ИТ-отсрочку и HR / юридические консультации 24/7; Культура: прозрачные процессы и открытую коммуникацию; Мощное железо: работу на лучших компах, мы не логируем время, у нас фокус на доверии и результате; ДМС: твое лечение за счет компании; Развитие: индивидуальный план обучения, конференции и митапы, мы помогаем развиваться и строить карьеру; Личный бренд: выступления на конференциях, митапах, написание статей; Бенефиты: ежеквартальное обновление корпоративных скидок; Движ: вечеринки оффлайн и онлайн, мерч, конкурсы и челленджи.  Откликайтесь, будем рады познакомиться лично!"
96116704,Стажер аналитик / разработчик (SQL / Python),КОРУС Консалтинг,False,,,Нет опыта,Гибкий график,"['Python', 'SQL', 'Анализ данных', 'Базы данных', 'Системный анализ', 'DWH']","Департамент аналитических решений (ДАР) открывает набор на стажировку.   Мы погружены во все современные направления в области работы с данными:  внедрение BI-систем и систем аналитической отчетности; проектирование хранилищ и витрин данных; разработка в области продвинутой аналитики и больших данных; применение прикладных продуктов с использованием Machine Learning; внедрение решений в области управлениям данными (Data Governance, Data Quality)  Мы открываем набор на стажировку для :  Бизнес-аналитика Системный аналитика Дата-инженера Разработчика BI  Старт программы 01.07.2024 Длительность: 5-6 недель Формат сотрудничества: частичная занятость, будут обязательные онлайн-встречи, остальное время распределяешь сам.   Приходи к нам на стажировку, чтобы:   Попробовать себя в реальных задачах в рамках ИТ-проекта. Получить опыт в разных ролях: бизнес-аналитик, системный аналитик, дата-инженер/разработчик BI. Узнать про прикладные и полезные фишки в ИТ-консалтинге. Поучаствовать в обучающих вебинарах от экспертов в области работы с данными. Получить индивидуальную обратную связь, ЧТО можно развивать, а главное КАК? Узнать, как успешно пройти интервью на твое первое место работы.  После стажировки:  Сделаем оффер лучшим стажерам и выплатим единовременный бонус после трудоустройства к нам. Выдадим сертификат о прохождении стажировки всем участникам. Оформим все для твоей практики: подпишем документы, приказы и отзывы.  Как попасть на стажировку?  Оставь отклик на эту вакансию с сопроводительным письмом до 25.04. Расскажи: Что хочешь получить от стажировки? Какие твои сильные стороны? Жди приглашение на почту на наш онлайн-вебинар (предварительная дата 27.04). Пройди тестовое задание. Участвуй в групповой дискуссии. Активно проявляй себя на обучающих вебинарах. Получи приглашение на стажировку.  Что ждем от тебя:  Ты учишься на 3-4 курсе бакалавриата или 1-2 курс магистратуры по профильному направлению – ИТ/математика/программирование/бизнес-информатика ИЛИ прошел профильные курсы переквалификации и теперь хочешь развиваться в бизнес/системном анализе/ разработке BI / разработке баз данных. Территориально в Москве , СПб, Ярославле. Знаешь как работают JOINы и подзапросы в SQL. Умеешь работать с базовыми типами в Python, знаешь, в чем отличие Return от Yield. Ты активно задаешь вопросы, быстро вникаешь в суть проекта, а главное, хочешь изучать и погружаться в наши технологии.  Успешному стажеру после трудоустройства к нам готовы предложить:  Специализированные программы обучения для аналитиков и разработчиков, курсы от корпоративного университета, субсидии на внешнее обучение Постоянная поддержка наставника Гибкий рабочий график (нет фиксированного времени присутствия в офисе) Крутые корпоративные мероприятия, регулярные встречи проектных команд и другие активности Оформление в штат компании, согласно ТК РФ, “белая” заработная плата, ДМС и все остальные стандартные бенефиты. Комьюнити внутри компании (как спортивные, так и профессиональные).  Откликайся, будет интересно!"
84980964,Системный аналитик (Middle & Senior),ИЦ АЙ-ТЕКО,False,,,От 3 до 6 лет,Полный день,"['XML/JSON, XSD/JSON Schema', 'REST/Web', 'UML', 'SQL', 'select, join, update, insert, case', 'SOAP, REST, Kafka', 'ETL/ELT']","  КОМПАНИЯ «АЙ-ТЕКО» - ведущий российский системный интегратор и поставщик информационных технологий для корпоративных заказчиков. Активно действует на рынке IT России с 1997 года, входит в ТОП-400 крупнейших российских компаний, ТОП-10 крупнейших IT-компаний России. В связи с активным развитием проектов в компании открыта вакансия СИСТЕМНЫЙ АНАЛИТИК (MIDDLE &amp; SENIOR) ФУНКЦИОНАЛЬНЫЕ ОБЯЗАННОСТИ:∙ сбор, анализ и описание требований бизнес-заказчика∙ проектирование комплексных интеграционных решений∙ разработка документации∙ коммуникация с аналитиками смежных систем на всех этапах реализации задачи∙ сопровождение разработки;∙ работа в кросс-функциональной agile команде НЕОБХОДИМЫЕ КОМПЕТЕНЦИИ:∙ высшее техническое образование∙ опыт разработки диаграмм UML;∙ опыт описания интеграционных взаимодействий∙ знание принципов REST/Web сервисов, очередей сообщений, XML/JSON, XSD/JSON Schema∙ понимание принципов реляционных СУБД∙ опыт проектирования логической модели данных∙ опыт работы более 2-х лет ДОПОЛНИТЕЛЬНО (БУДЕТ ПЛЮСОМ):∙ опыт работы в Atlassian Confluence, Jira∙ понимание типовых решений для клиент-серверных приложений;∙ опыт написания SQL-запросов∙ понимание нотации BPMN МЫ ПРЕДЛАГАЕМ:  Работу в стабильной компании, &quot;белую&quot; заработную плату; Оформление в соответствии с ТК РФ с первого дня работы; Расширенный социальный пакет: ДМС (включая стоматологию), корпоративные скидки на посещение фитнес-клубов, футбольная и волейбольная секции; Профессиональное обучение и развитие; Яркая и насыщенная корпоративная жизнь;  Снабжаем всей необходимой современной техникой: мощный ноут привезут прямо в день оформления;   ✅ ОТКЛИКАЙСЯ =) ЖДУ КОГДА ВМЕСТЕ ПОРАДУЕМСЯ ТВОЕМУ ОФФЕРУ) P.S. ФОРМАТ РАБОТЫ НА ВАШ ВЫБОР (ОФИС, УДАЛЁНКА ИЛИ ГИБРИД)    "
97506701,Младший аналитик (IT),Olima,True,100000.0,140000.0,Нет опыта,Полный день,"['Анализ данных', 'SQL', 'Разработка технических заданий', 'Python', 'MS Visio', 'Аналитическое мышление', 'Аналитика', 'Системное мышление', 'Составление технических заданий', 'Описание бизнес-процессов']","Мы – IT кадровое агентство. Трудоустраиваем кандидатов в компании на должности бизнес-аналитик и системный аналитик. Рассматриваются кандидаты без опыта Наши услуги по трудоустройству для кандидатов платные. Оплата происходит после трудоустройства с заработных плат Обязанности:  Анализ процессов компании Составление схем бизнес-процессов Составление технических заданий (ТЗ) Постановка задач разработчикам Контроль сроков выполнения задач Расстановка приоритетов по задачам Составление инструкций для пользователей  Требования:  Опыт работы в данной сфере необязателен. Перед трудоустройством проводится подготовка Приветствуются базовые знания SQL, Java, Python, C#, JavaScript, PHP  Условия:  Полностью белое трудоустройство по ТК РФ График работы: 5/2 с 09:00 до 18:00 или с 10:00 до 19:00 Работа в офисе, кандидаты на удаленную работу не рассматриваются! Оклад: 100 000 – 140 000 рублей на руки (после вычета налогов)  Если Вы приняли решение, что хотите попробовать свои силы, тогда оставляйте отклик на вакансию. Мы ждем именно Вас!"
97888979,Младший системный аналитик,Лин Айти,True,60000.0,70000.0,От 1 года до 3 лет,Удаленная работа,"['SQL', 'Бизнес-анализ', 'Системный анализ']","Мы ищем младшего специалиста с желанием развиваться в профессии и улучшать свои навыки!  Возможности позиции:  Участие в разработке и развитии интересных и новаторских ИТ-продуктов в роли системного аналитика Подготовка функциональных требований (ФТ) на основе бизнес-требований (БТ) Интервьюирование участников процесса, разработка схем as is и to be Анализ существующих процессов, систем, БД и схем интеграции, сбор требований, формирование рекомендаций по их изменению Разработка соглашений по интеграции, их согласование, утверждение и координация внедрения Контроль внедрения изменений в процессы, ит-системы анализ проблем при функционировании и разработка мер по их устранения Постановка задач разработчикам, контроль результатов и качества работ Анализ, оценка, проработка и согласование требований на изменение информационных систем и интеграцию Разработка и согласование документации  Будем рады, если у Вас:  Оконченное высшее образование Есть желание узнавать что-то новое и развиваться в профессии Хорошее знание SQL Аналитический и пытливый ум  Что станет дополнительным плюсом:   Неплохие технические скилы (такие как: JSON, SOAP, UML, BPMN, XML и т.д.) Навыки работы с различными инструментами (JIRA, confluence, postman, swagger и т.д.) Есть минимальные знания современных подходов интеграции информационных систем; навыки технического описания создания схем интеграции и регламентов Умение структурировать большие объемы информацию  Наше предложение:  Классная команда Сложные и интересные задачи (вся работа на результат, можно самому увидеть реальный эффект бизнеса от своей работы) Предлагаем познакомится с настоящим подходом Lean в ИТ на практике Обучение и наставничество в процессе работы Формат работы: удаленно Гибкое начало рабочего дня. Работа в аккредитованной ИТ-компании "
94954119,Системный аналитик,Арго студио,False,,,От 3 до 6 лет,Удаленная работа,"['SQL', 'Linux', 'Git', 'Atlassian Jira', 'BPMN', 'UML', 'Atlassian Confluence']","Мы разрабатываем программное обеспечение для бизнеса и финтеха. Обеспечиваем полный цикл разработки или подключаемся к проекту выделенной командой. Наш опыт — проекты топовых компаний в сфере финтеха, фармы, логистики, В2С и др. Работа у нас – это бесценный опыт и рост твоих компетенций. У нас появляется все больше проектов, поэтому мы расширяем команду Системной аналитики Задачи, которые предстоит решать:  проектирование публичных методов API, мобильных и web-приложений; подготовка документации на сценарии работы API и клиентских приложений; участие в обсуждении технической реализации решения бизнес-задач; взаимодействие с командами разработчиков, дизайнеров и тестировщиков.    Ждем от тебя:  высшее техническое образование опыт работы системным аналитиком или разработки ПО от 3-х лет умение анализировать предметную область бизнес-задачи навыки декомпозиции задач знание протоколов API опыт работы с баг-трекинговыми системами (Jira/Redmine) умение составлять SQL-запросы опыт работы с брокерами сообщений грамотная устная и письменная речь внимательность к мелочам    Будет круто, если у тебя есть:  базовое знание одного из языков программирования (Java/C#/PHP/Python) опыт проектирования микросервисов и их взаимодействия понимание принципов работы веб-серверов знание паттернов проектирования опыт работы с linux и его терминалом на уровне уверенного пользователя  Мы предлагаем:   работа в аккредитованной ИТ-компании   быть частью молодой и амбициозной команды профессионалов своего дела   участие в проектах с заказчиками федерального уровня   возможность профессионального и карьерного роста   возможность работы с гибким графиком   достойная оплата труда и пересмотр заработной платы по результатам работы  "
91300372,Frontend developer (React),Бюро 1440,False,,,От 3 до 6 лет,Полный день,"['React', 'TypeScript', 'REST API', 'Redux Toolkit', 'SPA']","О продуктеМы ищем хорошего разработчика React для разработки фронтенда Платформы Моделирования, которая будет интегрировать различные вычислительные сервисы. В общих чертах, Платформа состоит из пользовательских Приложений, каждое отвечает за визуальное представление о параметрах разрабатываемой Системы. Платформа запрашивает конфигурацию Системы от пользователя и реализует расчет множества параметров с помощью вычислительных модулей (микросервисов).Разработка ведется собственными силами. Платформа разрабатывается почти «с нуля» - нет legacy. Общий стек разработки платформы: React, Python, Matlab, Postgres, MongoDB. О командеПлатформа является внутренним продуктом Отдела Моделирования, который занимается математическим расчетами разрабатываемой Системы. Вы будете работать в Команде с математиками, аналитиками, системными инженерами, прожект-менеджерами.Мы предлагаем участие в глобальном международном проекте на острие науки и техники, возможность прикоснуться к реальному Космосу, внести свой вклад в то, о чем потом будут снимать фильмы и носить футболки с логотипом. У нас настоящий Rocket Science - со всеми инженерами в белых халатах, лабораториями, испытательными стендами, новейшим оборудованием. В нашей команде работают математики, аналитики, разработчики, ученые - самые крутые специалисты, которых мы собрали со всех уголков нашей страны. У нас длинные спринты и адекватная оценка трудоемкости. Мы ценим вовлеченность в общий процесс и слышим предложения и идеи каждого. Чем предстоит заниматься:  Разработкой фронтальной части платформы SaaS в виде SPA Разработкой пользовательских Приложений внутри единой платформы SaaS, например: Карта абонентских запросов, Менеджер конфигураций, Анализ качества обслуживания и др. Визуализацией Космической Системы на 2D и 3D картах Отображением результатов вычислений и данных для анализа в виде дашбордов Управлением пользовательскими конфигурациями Экспортом данных во внешние сервисы Созданием типовых компонентов и корпоративных библиотек  Что мы ожидаем:  Инженерное или техническое образование; Опыт разработки React+TypeScript от 3х лет, на позиции Middle - от 1 года; Опыт работы в проектах Single Page Application; Опыт реализации внутренних корпоративных платформ (BI, CRM, ERP или др.); Хорошее знание REST API; Опыт визуализации данных и дашбордов - интерактивные графики, таблицы, срезы, представления и тд.  Будет плюсом наличие опыта хотя бы в одной из этих областей:  Опыт работы с Material UI; Опыт создания корпоративных компонентов/библиотек; Опыт работы с интерактивными картами (MapLibre, DeckGL).  Мы предлагаем:  Работу в аккредитованной ИТ-компании; Шаг в космос - для тех, кто вдохновлен идеей покорения космоса и мечтает быть к этому причастным; Возможность выбора формата работы (офис/гибрид); Комфортный современный лофт-офис в 5 минутах от метро &quot;Улица 1905 года&quot;; Оформление в соответствии с ТК РФ; Конкурентный уровень заработной платы - на уровне лидеров ИТ/телеком-индустрии. "
94529925,Бизнес-аналитик/Системный аналитик,LADA Цифра,True,174000.0,217500.0,От 1 года до 3 лет,Полный день,"['Аналитика продаж', 'Аналитика', 'Анализ данных', 'Анализ рынка', 'Аналитические исследования', 'SQL']","  В нашу команду нужны коллеги - Аналитики по продукту!     Что делать:   вести тщательный анализ потребностей бизнеса, пользовательских сценариев и внутренней структуры нашего интернет-магазина;   собирать, анализировать и структурировать требования заказчиков;   формализовывать бизнес-требования, сценарии использования, проектировать процессы;   совместно с разработчиками, дизайнерами и представителями бизнеса проектировать продукт и его отдельные компоненты;   участвовать в функциональном, интеграционном, приёмочном тестировании продукта и его частей;   проводить демонстрационные дни, собирать, систематизировать и обрабатывать отклики пользователей;   готовить пользовательскую документацию   Кого ищем. Вы:   работали с бизнес- и системным анализом в контексте информационной системы с богатым UI, внедряли и интегрировали IT-решения более пяти лет;   умеете интервьюировать заказчиков и модерировать встречи;   формализовывали функциональные, нефункциональные и бизнес-требования к ПО, разрабатывали сценарии использования, ставили задания на разработку, выявляли противоречия в требованиях, определяли ограничения, допущения и риски;   моделировали бизнес-процессы (BPMN, UML), описывали потоки и проектировали структуры данных (DFD, ERD) на основании полученных требований;   понимаете, как устроены современные веб-сервисы и приложения, как они и их компоненты могут взаимодействовать между собой;   участвовали в проектах с применением гибких методологий разработки;   вели проектную и разрабатывали пользовательскую документацию.   Что предлагаем:   Возможность работать под крылом крупной компании, но с духом стартапа;   Самую перспективную компанию на рынке e-com автозапчастей;   Влиять на изменения и их скорость;   Каждый день видеть бизнес-эффект от изменений в своем продукте;   Достойная заработная плата (обсуждается индивидуально);   Работа в уютном офисе в Москве (м. Динамо, БЦ &quot;Арена&quot;)​​ в комфортном формате  "
96988437,System analyst (Middle/ Senior),ИЦ АЙ-ТЕКО,False,,,От 1 года до 3 лет,Полный день,"['Разработка технических заданий', 'Разработка проектной документации', 'Scrum', 'API']","КОМПАНИЯ «АЙ-ТЕКО» - ведущий российский системный интегратор и поставщик информационных технологий для корпоративных заказчиков. Активно действует на рынке IT России с 1997 года, входит в ТОП-400 крупнейших российских компаний, ТОП-10 крупнейших IT-компаний России. ФУНКЦИОНАЛЬНЫЕ ОБЯЗАННОСТИ:  Опыт командной разработки(с использованием Confluence, Jira или других инструментов); Общее представление об основных методологиях разработки; Опыт разработки и согласования ТЗ; Опыт проектирования пользовательских интерфейсов; Понимание современных подходов к проектированию и интеграции enterprise-решений: SOAP, Rest, MQ, клиент-серверная архитектура, веб-сервисы и т.д; Знание методологий функционального, информационного и процессного моделирования в нотациях eEPC, BPMN, UML; Хорошие коммуникативные навыки; Нацеленность на результат.  МЫ ПРЕДЛАГАЕМ:  Работу в стабильной компании, &quot;белую&quot; заработную плату; Оформление в соответствии с ТК РФ с первого дня работы; Расширенный социальный пакет: ДМС (включая стоматологию), корпоративные скидки на посещение фитнес-клубов, футбольная и волейбольная секции; Профессиональное обучение и развитие; Удаленка. "
94746110,Системный аналитик,Группа страховых компаний Югория,False,,,От 3 до 6 лет,Удаленная работа,"['Atlassian Jira', 'Confluence', 'Balsamiq', 'Swagger', 'Postman', 'UML', 'BPMN', 'SQL', 'REST', 'API']","  АО &quot;ГСК &quot;ЮГОРИЯ&quot; одна из крупнейших и активно развивающихся страховых компаний России. Мы осуществляем свою деятельность с 1997 года. Разветвленная региональная сеть компании включает в себя 154 филиала, более 300 агентств и точек продаж, работающих в 65 регионах России от Калининграда до Владивостока.   Описание проекта: В компании утверждена стратегическая инициатива &quot;Продуктовая фабрика и динамическое ценообразование&quot;. В рамках инициативы разрабатывается проект «Ю-Про». «Ю-Про» представляет собой IT-продукт, позволяющий рассчитывать и оформлять договоры, управлять тарифами и страховыми продуктами. Это стратегический долгосрочный проект для развития розничного бизнеса компании, нацелен на увеличение объема продаж, сокращение времени выпуска страховых продуктов, а также на минимизацию времени обслуживания клиента. В результате получится легкая и гибкая система, позволяющая в короткие сроки выводить страховые продукты без программирования. Мы ожидаем, что кандидат:  Знает методики сбора и анализа информации с учетом специфики Agile процессов. Сможет выявить противоречия и корневые проблемы в требованиях, &quot;вытащить&quot; из заказчика его реальную &quot;боль&quot;. Имеет навыки декомпозиции задач анализа, сбора результатов работы аналитиков по декомпозированным задачам и трассировки требований на систему в целом. Умеет применять BPMN и UML в правильном контексте. Знает основные виды шаблонов документов при разработке ПО, их типовую структуру, практические аспекты применения. Твердо знает теорию баз данных. Сможет не только задокументировать любую модель данных, но и грамотно ее спроектировать с учетом принципов проектирования баз данных. Уверенно знает виды и методы интеграций, форматы обмен, технологию разработку требований к интеграциям и шаблоны построения интеграций. Сможет описать не только логические требования к интеграции, но и нефункциональные требования.  Имеет хороший ИТ-бэкграунд: понимает жизненный цикл разработки ПО и основные термины (не напугает такая фраза как &quot;Вчера отревьювили баг на бэкенде по задаче, посмотри логи после релиза; если будут ошибки - пришли json-контракт для анализа&quot;). Ключевые обязанности:  Формировать понятные команде функциональные и нефункциональные требования как на разработку отдельных функций системы, так и на и на разработку системы в целом. Обеспечивать трассировку требований к системе в целом. Анализировать бизнес-процессы и требования заинтересованных лиц, осуществлять концептуальное и логическое проектирование бизнес-функций системы, не путая с проектированием технической архитектуры. Разрабатывать и актуализировать эксплуатационную документацию на систему, формировать базу знаний для поддержки системы. Участвовать во приемке, демонстрации и внедрении реализованного функционала. Диагностировать проблемы в реализации функционала.  Стек: Atlassian Jira; Confluence; Balsamiq; Swagger, Postman. Условия:  Комфортный офис в пешей доступности в г. Москва (ст.м. Савеловская \ Белорусская \ Новослободская) Возможность удаленной работы Работа в стабильной компании Оформление согласно ТК РФ Белая заработная плата Квартальная премия    Будем рады видеть Вас в нашей команде!"
