Position,Age,Experience,Salary_Rub
Analyst,30,8 месяцев,60000
Analyst,28,5 месяцев,40000
Analyst,29,8 месяцев,100000
Analyst,30,,30000
Analyst,38,2 года,45000
Аналитик,25,2 года,180000
аналитик,34,,20000
аналитик,37,1 год 4 месяца,25000
аналитик,38,2 года 1 месяц,30000
Аналитик,29,2 года 4 месяца,140000
Аналитик,33,,50000
Аналитик,38,1 год 11 месяцев,45000
Аналитик,33,1 год,30000
Аналитик,30,4 месяца,40000
Аналитик,29,11 месяцев,50000
Аналитик,27,,30000
Аналитик,32,2 года,30000
Аналитик,32,1 год 6 месяцев,52000
Аналитик,28,3 месяца,50000
Аналитик,32,9 месяцев,20000
Аналитик,47,,45000
Аналитик,36,2 года 5 месяцев,30000
Аналитик,33,,10000
Аналитик,35,1 год,30000
Аналитик,34,,15000
Аналитик,35,,20000
Аналитик,36,11 месяцев,25000
Аналитик,37,,30000
Аналитик,27,,200000
аналитик,39,3 месяца,91690
Аналитик,36,7 месяцев,40000
Аналитик,35,3 года,90000
аналитик,36,8 месяцев,25000
Аналитик,33,3 года 1 месяц,40000
Аналитик,30,,30000
Аналитик,33,2 года,45000
Аналитик,29,4 месяца,20000
Аналитик,33,,50000
Аналитик,33,,40000
Аналитик,35,2 года 5 месяцев,45000
Аналитик,33,,45000
Аналитик,30,,50000
Аналитик,29,,20000
Аналитик,29,1 год 5 месяцев,60000
Аналитик,29,8 месяцев,30000
Аналитик,30,1 год 3 месяца,100000
Аналитик,28,4 месяца,50000
Аналитик,30,2 года 6 месяцев,50000
Аналитик,33,1 год 10 месяцев,50000
Аналитик,34,10 месяцев,50000
Аналитик,37,7 месяцев,20000
аналитик,32,2 месяца,15000
аналитик,34,6 месяцев,20000
Аналитик,36,8 месяцев,30000
Аналитик,43,2 года 2 месяца,30000
Аналитик,39,2 года 9 месяцев,60000
аналитик,37,,15000
Аналитик,36,1 год 4 месяца,25000
Аналитик,37,2 года,82521
Аналитик,39,8 месяцев,30000
Аналитик,34,,20000
Аналитик,39,,35000
Аналитик,37,,25000
Аналитик,25,3 месяца,40000
аналитик,35,1 год,40000
Аналитик,35,4 месяца,40000
Аналитика,33,5 месяцев,30000
Аналитик,33,2 года 9 месяцев,30000
Аналитик,33,2 года 2 месяца,50000
Аналитик,33,1 год 7 месяцев,40000
Аналитик,32,6 месяцев,20000
Аналитик,33,1 год 11 месяцев,60000
Аналитик,32,1 год 10 месяцев,30000
Аналитик,35,,160000
Аналитик,26,1 год 2 месяца,70000
Аналитик,29,,25000
Аналитик,35,2 года,35000
Аналитик,29,1 год 1 месяц,60000
Аналитик,28,,60000
Аналитик,29,,45000
Аналитик,29,,40000
Аналитик,30,,15000
Аналитик,35,,20000
Аналитик,34,,27000
Аналитик,36,,50000
Аналитик,28,,40000
Аналитик,28,2 года 5 месяцев,115000
Аналитик,24,1 год 9 месяцев,91690
Analyst / Аналитик,27,2 года 9 месяцев,200000
Аналитик,36,2 года 8 месяцев,80000
Аналитик,35,,45000
Аналитик,35,2 года 1 месяц,50000
Аналитик,34,11 месяцев,50000
Аналитик,28,2 года 8 месяцев,30000
Аналитик,30,,45000
Аналитик,28,1 год 3 месяца,50000
Аналитик,34,,40000
Аналитик,29,4 месяца,45000
Аналитик,30,1 год 10 месяцев,90000
Аналитик,29,,45000
Аналитик,28,,30000
Аналитик,29,3 месяца,12000
Аналитик,32,1 год 5 месяцев,60000
Аналитик,36,1 год,35000
Аналитик,35,1 год 9 месяцев,31000
Аналитик,37,2 года 4 месяца,30000
аналитик,38,,35000
Аналитик,37,4 месяца,25000
Аналитик,39,,91690
Аналитик,28,1 год 6 месяцев,85000
Аналитик,25,2 года 11 месяцев,120000
Аналитик,20,1 год 1 месяц,50000
Аналитик,24,2 года 6 месяцев,85000
аналитик,36,2 года 1 месяц,40000
аналитик,43,2 года 4 месяца,40000
Аналитик,29,2 месяца,50000
Аналитик,34,1 год 2 месяца,90000
Аналитик,36,1 год 8 месяцев,50000
Аналитик,32,3 месяца,50000
Аналитик,32,1 год 5 месяцев,50000
Аналитик,36,,30000
Аналитик,30,5 месяцев,30000
Аналитик,29,8 месяцев,15000
Аналитик,33,2 месяца,50000
Аналитик,33,2 года 4 месяца,50000
Аналитик,33,1 год 7 месяцев,40000
Аналитик,32,1 год 6 месяцев,60000
Аналитик,29,,50000
Аналитик,28,2 года 7 месяцев,70000
Аналитик,29,11 месяцев,65000
Аналитик,35,,20000
Аналитик,35,1 год 3 месяца,20000
аналитик,45,,40000
аналитик,40,,37000
Аналитик,28,2 года 2 месяца,80000
investment analyst,38,,40000
Financial analyst,30,4 месяца,17000
Business analyst,30,2 года 6 месяцев,100000
financial analyst,37,6 месяцев,40000
Financial analyst,33,2 месяца,40000
Junior Analyst,29,1 год 1 месяц,60000
Investment analyst,27,3 месяца,150000
Financial analyst,30,,100000
Junior analyst,35,2 года 7 месяцев,40000
DB analyst,36,2 года 7 месяцев,55000
Financial analyst,24,1 год 6 месяцев,35000
financial analyst,36,1 год 11 месяцев,40000
Finance analyst,35,2 года 8 месяцев,60000
Business analyst,30,,50000
